Porto[6041] numero 6: (205.03, 237.80) - 5 banchine

Porto [6156] in posizione: (310.36, 325.55)
Banchine libere 2 su 2
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6157] in posizione: (584.21, 598.63)
Banchine libere 4 su 4
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6158] in posizione: (109.27, 124.15)
Banchine libere 2 su 2
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6159] in posizione: (444.59, 459.41)
Banchine libere 1 su 1
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6160] in posizione: (116.86, 147.28)
Banchine libere 10 su 10
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6161] in posizione: (709.05, 724.41)
Banchine libere 3 su 3
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6162] in posizione: (430.04, 461.81)
Banchine libere 5 su 5
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6163] in posizione: (753.34, 768.07)
Banchine libere 10 su 10
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6164] in posizione: (519.06, 552.24)
Banchine libere 10 su 10
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6165] in posizione: (313.06, 328.06)
Banchine libere 1 su 1
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6166] in posizione: (879.17, 910.72)
Banchine libere 3 su 3
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6167] in posizione: (519.35, 534.00)
Banchine libere 8 su 8
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6168] in posizione: (396.66, 411.86)
Banchine libere 8 su 8
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6169] in posizione: (715.65, 735.44)
Banchine libere 6 su 6
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6170] in posizione: (691.32, 706.37)
Banchine libere 9 su 9
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6171] in posizione: (98.69, 136.74)
Banchine libere 8 su 8
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6172] in posizione: (215.90, 248.19)
Banchine libere 7 su 7
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6173] in posizione: (401.01, 415.58)
Banchine libere 2 su 2
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6174] in posizione: (780.52, 796.04)
Banchine libere 4 su 4
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6175] in posizione: (271.48, 285.64)
Banchine libere 2 su 2
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6176] in posizione: (149.81, 164.12)
Banchine libere 3 su 3
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6177] in posizione: (505.48, 521.06)
Banchine libere 8 su 8
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6178] in posizione: (291.17, 324.35)
Banchine libere 8 su 8
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6179] in posizione: (635.10, 649.33)
Banchine libere 2 su 2
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6180] in posizione: (757.73, 772.40)
Banchine libere 4 su 4
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6181] in posizione: (788.96, 803.70)
Banchine libere 2 su 2
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6182] in posizione: (669.17, 683.57)
Banchine libere 10 su 10
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6183] in posizione: (115.01, 151.56)
Banchine libere 10 su 10
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6184] in posizione: (539.58, 569.68)
Banchine libere 9 su 9
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6185] in posizione: (971.27, 985.78)
Banchine libere 5 su 5
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6186] in posizione: (936.55, 969.79)
Banchine libere 10 su 10
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6187] in posizione: (42.21, 73.17)
Banchine libere 2 su 2
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6188] in posizione: (722.58, 737.05)
Banchine libere 2 su 2
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6189] in posizione: (549.54, 565.30)
Banchine libere 7 su 7
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6190] in posizione: (564.42, 579.67)
Banchine libere 5 su 5
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6191] in posizione: (847.73, 884.30)
Banchine libere 2 su 2
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6192] in posizione: (897.90, 912.52)
Banchine libere 8 su 8
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6193] in posizione: (567.00, 581.87)
Banchine libere 4 su 4
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6194] in posizione: (40.50, 54.46)
Banchine libere 8 su 8
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6195] in posizione: (886.87, 917.70)
Banchine libere 10 su 10
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6196] in posizione: (535.40, 549.62)
Banchine libere 2 su 2
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6197] in posizione: (860.90, 899.03)
Banchine libere 1 su 1
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6198] in posizione: (328.94, 345.73)
Banchine libere 3 su 3
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6199] in posizione: (714.23, 730.64)
Banchine libere 10 su 10
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6200] in posizione: (501.29, 537.93)
Banchine libere 5 su 5
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6201] in posizione: (181.55, 197.90)
Banchine libere 7 su 7
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6202] in posizione: (246.53, 263.86)
Banchine libere 9 su 9
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6203] in posizione: (737.44, 774.97)
Banchine libere 2 su 2
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6204] in posizione: (622.62, 640.61)
Banchine libere 10 su 10
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6205] in posizione: (731.79, 747.72)
Banchine libere 4 su 4
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6206] in posizione: (16.50, 33.71)
Banchine libere 1 su 1
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6207] in posizione: (579.33, 596.45)
Banchine libere 4 su 4
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6208] in posizione: (35.09, 71.85)
Banchine libere 3 su 3
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6209] in posizione: (26.48, 42.31)
Banchine libere 7 su 7
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6210] in posizione: (914.91, 930.66)
Banchine libere 5 su 5
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6211] in posizione: (883.74, 899.72)
Banchine libere 9 su 9
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6212] in posizione: (244.37, 260.33)
Banchine libere 10 su 10
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6213] in posizione: (476.84, 512.89)
Banchine libere 1 su 1
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6214] in posizione: (697.37, 733.61)
Banchine libere 9 su 9
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 102 ton

Porto [6215] in posizione: (882.48, 899.10)
Banchine libere 6 su 6
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6216] in posizione: (617.02, 652.49)
Banchine libere 8 su 8
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6217] in posizione: (702.86, 718.75)
Banchine libere 2 su 2
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6218] in posizione: (193.93, 210.78)
Banchine libere 4 su 4
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6219] in posizione: (380.45, 396.58)
Banchine libere 4 su 4
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6220] in posizione: (305.47, 322.16)
Banchine libere 4 su 4
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6221] in posizione: (237.66, 254.92)
Banchine libere 9 su 9
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6222] in posizione: (846.05, 882.51)
Banchine libere 8 su 8
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6223] in posizione: (373.89, 390.89)
Banchine libere 4 su 4
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6224] in posizione: (254.87, 295.09)
Banchine libere 5 su 5
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6225] in posizione: (279.04, 294.91)
Banchine libere 3 su 3
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6226] in posizione: (616.17, 632.62)
Banchine libere 4 su 4
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6227] in posizione: (899.01, 916.51)
Banchine libere 9 su 9
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6228] in posizione: (24.74, 42.71)
Banchine libere 9 su 9
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6229] in posizione: (935.42, 971.48)
Banchine libere 9 su 9
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6230] in posizione: (195.20, 212.59)
Banchine libere 7 su 7
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6231] in posizione: (35.13, 70.97)
Banchine libere 10 su 10
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6232] in posizione: (265.11, 300.21)
Banchine libere 4 su 4
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 30 ton

Porto [6233] in posizione: (418.24, 435.04)
Banchine libere 8 su 8
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6234] in posizione: (413.79, 430.29)
Banchine libere 8 su 8
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6235] in posizione: (951.91, 968.92)
Banchine libere 9 su 9
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6236] in posizione: (260.68, 276.61)
Banchine libere 3 su 3
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6237] in posizione: (753.53, 768.96)
Banchine libere 5 su 5
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6238] in posizione: (731.37, 767.46)
Banchine libere 1 su 1
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6239] in posizione: (74.67, 91.30)
Banchine libere 8 su 8
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6240] in posizione: (857.28, 873.73)
Banchine libere 6 su 6
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6241] in posizione: (152.69, 169.32)
Banchine libere 9 su 9
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6242] in posizione: (652.73, 687.66)
Banchine libere 4 su 4
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6243] in posizione: (952.02, 988.52)
Banchine libere 6 su 6
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6244] in posizione: (552.73, 569.17)
Banchine libere 7 su 7
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6245] in posizione: (676.67, 692.09)
Banchine libere 8 su 8
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6246] in posizione: (102.19, 116.99)
Banchine libere 4 su 4
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6247] in posizione: (841.54, 858.06)
Banchine libere 5 su 5
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6248] in posizione: (286.57, 301.25)
Banchine libere 8 su 8
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6249] in posizione: (522.66, 537.48)
Banchine libere 2 su 2
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6250] in posizione: (298.38, 331.09)
Banchine libere 1 su 1
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6251] in posizione: (97.46, 113.96)
Banchine libere 6 su 6
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6252] in posizione: (215.20, 229.27)
Banchine libere 1 su 1
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6253] in posizione: (359.23, 392.25)
Banchine libere 10 su 10
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6254] in posizione: (437.91, 452.59)
Banchine libere 3 su 3
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6255] in posizione: (467.63, 484.78)
Banchine libere 1 su 1
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6256] in posizione: (651.14, 665.23)
Banchine libere 4 su 4
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6257] in posizione: (649.37, 685.17)
Banchine libere 8 su 8
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6258] in posizione: (638.82, 653.28)
Banchine libere 8 su 8
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6259] in posizione: (728.02, 742.17)
Banchine libere 5 su 5
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6260] in posizione: (77.09, 110.10)
Banchine libere 6 su 6
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6261] in posizione: (281.08, 295.83)
Banchine libere 5 su 5
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6262] in posizione: (270.91, 303.06)
Banchine libere 8 su 8
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6263] in posizione: (8.03, 23.13)
Banchine libere 2 su 2
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6264] in posizione: (53.88, 68.87)
Banchine libere 6 su 6
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6265] in posizione: (329.78, 345.08)
Banchine libere 9 su 9
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6266] in posizione: (800.57, 815.89)
Banchine libere 7 su 7
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6267] in posizione: (432.25, 464.55)
Banchine libere 6 su 6
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6268] in posizione: (571.52, 602.63)
Banchine libere 2 su 2
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6269] in posizione: (149.50, 163.70)
Banchine libere 4 su 4
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6270] in posizione: (57.68, 72.23)
Banchine libere 2 su 2
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6271] in posizione: (708.86, 723.67)
Banchine libere 7 su 7
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6272] in posizione: (278.21, 295.05)
Banchine libere 10 su 10
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6273] in posizione: (38.92, 54.97)
Banchine libere 4 su 4
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6274] in posizione: (27.89, 42.42)
Banchine libere 3 su 3
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6275] in posizione: (441.16, 456.99)
Banchine libere 1 su 1
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6276] in posizione: (321.35, 337.22)
Banchine libere 10 su 10
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6277] in posizione: (388.24, 403.28)
Banchine libere 4 su 4
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6278] in posizione: (458.83, 473.68)
Banchine libere 10 su 10
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6279] in posizione: (51.49, 66.78)
Banchine libere 10 su 10
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6280] in posizione: (823.88, 856.39)
Banchine libere 9 su 9
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6281] in posizione: (682.61, 697.73)
Banchine libere 3 su 3
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6282] in posizione: (359.30, 391.05)
Banchine libere 4 su 4
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6283] in posizione: (597.15, 611.86)
Banchine libere 9 su 9
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6284] in posizione: (331.99, 346.74)
Banchine libere 3 su 3
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6285] in posizione: (360.52, 378.02)
Banchine libere 5 su 5
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6286] in posizione: (359.83, 374.77)
Banchine libere 6 su 6
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6287] in posizione: (290.30, 305.08)
Banchine libere 1 su 1
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6288] in posizione: (53.35, 67.56)
Banchine libere 9 su 9
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6289] in posizione: (530.20, 544.31)
Banchine libere 6 su 6
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6290] in posizione: (938.67, 955.68)
Banchine libere 9 su 9
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6291] in posizione: (830.90, 845.71)
Banchine libere 1 su 1
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6292] in posizione: (993.31, 26.47)
Banchine libere 2 su 2
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6293] in posizione: (970.88, 986.87)
Banchine libere 7 su 7
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6294] in posizione: (405.48, 420.50)
Banchine libere 4 su 4
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6295] in posizione: (466.21, 496.70)
Banchine libere 3 su 3
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6296] in posizione: (859.47, 891.12)
Banchine libere 5 su 5
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6297] in posizione: (924.47, 938.38)
Banchine libere 5 su 5
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6298] in posizione: (719.56, 749.96)
Banchine libere 5 su 5
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6299] in posizione: (496.95, 527.64)
Banchine libere 2 su 2
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6300] in posizione: (910.71, 925.47)
Banchine libere 7 su 7
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6301] in posizione: (546.49, 560.84)
Banchine libere 5 su 5
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6302] in posizione: (699.03, 714.28)
Banchine libere 3 su 3
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6303] in posizione: (519.03, 534.34)
Banchine libere 7 su 7
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6304] in posizione: (589.21, 604.04)
Banchine libere 6 su 6
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6305] in posizione: (442.33, 457.37)
Banchine libere 1 su 1
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6306] in posizione: (599.57, 614.32)
Banchine libere 7 su 7
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6307] in posizione: (163.23, 177.26)
Banchine libere 2 su 2
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6308] in posizione: (267.82, 281.63)
Banchine libere 3 su 3
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6309] in posizione: (244.25, 258.64)
Banchine libere 8 su 8
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6310] in posizione: (201.81, 232.87)
Banchine libere 9 su 9
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6311] in posizione: (851.62, 866.36)
Banchine libere 1 su 1
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6312] in posizione: (510.38, 525.45)
Banchine libere 2 su 2
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6313] in posizione: (251.01, 284.67)
Banchine libere 8 su 8
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6314] in posizione: (495.94, 510.98)
Banchine libere 2 su 2
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6315] in posizione: (260.80, 275.78)
Banchine libere 10 su 10
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6316] in posizione: (729.34, 744.40)
Banchine libere 2 su 2
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6317] in posizione: (372.86, 387.61)
Banchine libere 1 su 1
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6318] in posizione: (451.25, 466.65)
Banchine libere 7 su 7
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6319] in posizione: (930.73, 963.14)
Banchine libere 4 su 4
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6320] in posizione: (69.36, 102.81)
Banchine libere 8 su 8
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6321] in posizione: (246.36, 278.43)
Banchine libere 4 su 4
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6322] in posizione: (999.97, 14.87)
Banchine libere 9 su 9
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6323] in posizione: (858.71, 873.86)
Banchine libere 9 su 9
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6324] in posizione: (194.04, 209.11)
Banchine libere 9 su 9
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6325] in posizione: (103.26, 136.33)
Banchine libere 3 su 3
Merci spedite: 0 ton
Merci generate ancora in porto: 0 ton
Merci ricevute: 0 ton

Porto [6326] in posizione: (294.45, 309.32)
